time,temperature_2m_max,temperature_2m_min,city
2025-03-24,12.7,7.1,London
2025-03-25,14.5,4.9,London
2025-03-26,15.6,8.7,London
2025-03-27,14.9,5.8,London
2025-03-28,14.3,6.8,London
2025-03-29,13.7,3.7,London
2025-03-30,15.9,9.0,London
2025-03-31,16.4,5.9,London
2025-04-01,13.7,5.4,London
2025-04-02,16.0,7.3,London
2025-04-03,18.6,8.8,London
2025-04-04,21.5,10.2,London
2025-04-05,17.9,6.5,London
2025-04-06,15.3,6.3,London
2025-04-07,15.0,4.2,London
2025-04-08,16.1,4.2,London
2025-04-09,13.6,3.9,London
2025-04-10,16.1,5.5,London
2025-04-11,22.6,6.5,London
2025-04-12,22.3,8.1,London
2025-04-13,16.6,10.4,London
2025-04-14,15.2,6.4,London
2025-04-15,17.5,9.7,London
2025-04-16,15.0,8.5,London
2025-04-17,17.4,5.8,London
2025-04-18,17.0,9.2,London
2025-04-19,16.1,7.5,London
2025-04-20,15.4,5.5,London
2025-04-21,9.7,9.7,London
2025-04-22,,,London
2025-04-23,,,London
2025-03-24,10.5,4.0,New York
2025-03-25,14.1,4.8,New York
2025-03-26,10.1,2.0,New York
2025-03-27,9.8,-0.6,New York
2025-03-28,15.6,4.5,New York
2025-03-29,26.2,10.1,New York
2025-03-30,13.8,5.6,New York
2025-03-31,23.9,7.9,New York
2025-04-01,17.4,4.4,New York
2025-04-02,8.4,0.1,New York
2025-04-03,22.2,5.4,New York
2025-04-04,21.6,12.7,New York
2025-04-05,15.0,8.6,New York
2025-04-06,15.4,5.9,New York
2025-04-07,11.0,4.3,New York
2025-04-08,6.6,2.1,New York
2025-04-09,8.3,-1.7,New York
2025-04-10,9.4,1.6,New York
2025-04-11,7.3,4.4,New York
2025-04-12,5.6,1.5,New York
2025-04-13,13.9,3.8,New York
2025-04-14,16.2,4.8,New York
2025-04-15,18.7,9.4,New York
2025-04-16,12.2,5.2,New York
2025-04-17,15.5,3.3,New York
2025-04-18,18.3,4.0,New York
2025-04-19,27.0,14.8,New York
2025-04-20,24.0,10.7,New York
2025-04-21,14.0,14.0,New York
2025-04-22,,,New York
2025-04-23,,,New York
2025-03-24,18.4,10.1,Tokyo
2025-03-25,22.4,16.1,Tokyo
2025-03-26,23.9,10.8,Tokyo
2025-03-27,21.5,14.6,Tokyo
2025-03-28,24.7,8.7,Tokyo
2025-03-29,9.2,3.9,Tokyo
2025-03-30,12.8,4.2,Tokyo
2025-03-31,7.5,3.7,Tokyo
2025-04-01,8.0,3.0,Tokyo
2025-04-02,12.5,7.4,Tokyo
