city,date,temperature
New York,2025-03-22,16.3
New York,2025-03-23,8.2
New York,2025-03-24,10.5
New York,2025-03-25,14.1
New York,2025-03-26,10.1
New York,2025-03-27,9.8
New York,2025-03-28,15.6
New York,2025-03-29,26.2
New York,2025-03-30,13.8
New York,2025-03-31,23.9
New York,2025-04-01,15.9
New York,2025-04-02,8.4
New York,2025-04-03,22.2
New York,2025-04-04,21.2
New York,2025-04-05,12.6
New York,2025-04-06,15.4
New York,2025-04-07,9.1
New York,2025-04-08,6.6
New York,2025-04-09,8.3
New York,2025-04-10,9.4
New York,2025-04-11,7.3
New York,2025-04-12,5.6
New York,2025-04-13,13.9
New York,2025-04-14,16.2
New York,2025-04-15,18.7
New York,2025-04-16,10.1
New York,2025-04-17,15.5
New York,2025-04-18,18.3
New York,2025-04-19,27.0
New York,2025-04-20,
New York,2025-04-21,
London,2025-03-22,15.6
London,2025-03-23,14.7
London,2025-03-24,12.7
London,2025-03-25,14.5
London,2025-03-26,15.6
London,2025-03-27,14.9
London,2025-03-28,14.3
London,2025-03-29,13.7
London,2025-03-30,15.9
London,2025-03-31,16.4
London,2025-04-01,13.7
London,2025-04-02,16.0
London,2025-04-03,18.6
London,2025-04-04,21.5
London,2025-04-05,17.9
London,2025-04-06,15.3
London,2025-04-07,15.0
London,2025-04-08,16.1
London,2025-04-09,13.6
London,2025-04-10,16.1
London,2025-04-11,22.6
London,2025-04-12,22.3
London,2025-04-13,16.6
London,2025-04-14,15.2
London,2025-04-15,17.5
London,2025-04-16,15.0
London,2025-04-17,17.4
London,2025-04-18,17.0
London,2025-04-19,16.1
London,2025-04-20,7.5
London,2025-04-21,
Tokyo,2025-03-22,20.5
Tokyo,2025-03-23,23.3
Tokyo,2025-03-24,18.4
Tokyo,2025-03-25,22.4
Tokyo,2025-03-26,23.9
Tokyo,2025-03-27,21.5
Tokyo,2025-03-28,24.7
Tokyo,2025-03-29,12.9
Tokyo,2025-03-30,12.8
Tokyo,2025-03-31,7.5
Tokyo,2025-04-01,6.0
Tokyo,2025-04-02,12.5
Tokyo,2025-04-03,9.6
Tokyo,2025-04-04,15.3
Tokyo,2025-04-05,15.1
Tokyo,2025-04-06,17.9
Tokyo,2025-04-07,17.0
Tokyo,2025-04-08,18.5
Tokyo,2025-04-09,20.3
Tokyo,2025-04-10,20.7
Tokyo,2025-04-11,19.7
Tokyo,2025-04-12,19.1
Tokyo,2025-04-13,14.9
Tokyo,2025-04-14,20.7
Tokyo,2025-04-15,19.7
Tokyo,2025-04-16,20.3
Tokyo,2025-04-17,22.5
Tokyo,2025-04-18,23.8
Tokyo,2025-04-19,27.5
Tokyo,2025-04-20,20.6
Tokyo,2025-04-21,
Sydney,2025-03-22,23.2
Sydney,2025-03-23,22.2
Sydney,2025-03-24,23.8
Sydney,2025-03-25,23.1
Sydney,2025-03-26,25.0
Sydney,2025-03-27,24.3
Sydney,2025-03-28,24.0
Sydney,2025-03-29,20.9
Sydney,2025-03-30,22.5
Sydney,2025-03-31,21.7
Sydney,2025-04-01,21.0
Sydney,2025-04-02,21.4
Sydney,2025-04-03,24.5
Sydney,2025-04-04,22.7
Sydney,2025-04-05,23.9
Sydney,2025-04-06,24.5
Sydney,2025-04-07,24.9
Sydney,2025-04-08,20.6
Sydney,2025-04-09,21.7
Sydney,2025-04-10,23.4
Sydney,2025-04-11,26.7
Sydney,2025-04-12,23.6
Sydney,2025-04-13,24.9
Sydney,2025-04-14,26.7
Sydney,2025-04-15,21.4
Sydney,2025-04-16,21.2
Sydney,2025-04-17,21.5
Sydney,2025-04-18,22.8
Sydney,2025-04-19,27.4
Sydney,2025-04-20,22.1
Sydney,2025-04-21,
Moscow,2025-03-22,4.1
Moscow,2025-03-23,4.9
Moscow,2025-03-24,10.1
Moscow,2025-03-25,5.1
Moscow,2025-03-26,5.4
Moscow,2025-03-27,7.6
Moscow,2025-03-28,10.7
Moscow,2025-03-29,12.7
Moscow,2025-03-30,12.0
Moscow,2025-03-31,14.2
Moscow,2025-04-01,13.0
Moscow,2025-04-02,12.5
Moscow,2025-04-03,13.2
Moscow,2025-04-04,15.5
Moscow,2025-04-05,6.2
Moscow,2025-04-06,0.6
Moscow,2025-04-07,0.6
Moscow,2025-04-08,-0.5
Moscow,2025-04-09,-0.5
Moscow,2025-04-10,1.0
Moscow,2025-04-11,2.4
Moscow,2025-04-12,2.8
Moscow,2025-04-13,8.7
Moscow,2025-04-14,11.7
Moscow,2025-04-15,17.2
Moscow,2025-04-16,20.0
Moscow,2025-04-17,17.8
Moscow,2025-04-18,22.5
Moscow,2025-04-19,24.2
Moscow,2025-04-20,15.4
Moscow,2025-04-21,
